"division","gender","belt","weight","rank","Name","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class."
"Master 1","Male","BLUE","Rooster",1,"Anthony Garcia","American Top Team",31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",2,"Daniel Armando Avilez","Absolute Behring",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",3,"Tony Thai Nguyen","CheckMat",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",4,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",5,"Daryl Charles Ayson Santos","Yemaso Brazilian Jiu-Jitsu",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",6,"Wesley Allen Morris","Roberto Traven BJJ",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",7,"Philip Paul Johns Jr","Form Jiu Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Rooster",8,"Jonathan Ti Shih Yeung","Evolve MMA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",1,"Mark Luebking","CheckMat",108,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",2,"Lio Alexander Duarte","Brazilian Top Team",36,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",3,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu",12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",4,"Luis Alberto Ogaz Varela","Soul Fighters BJJ",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",5,"George Christopher A Baron","Aloisio Silva BJJ",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",6,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",7,"Lucas John Wagner","Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",8,"Francisco J O Ryan Lesser","Cohab Chile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Rooster",9,"Bryan Nguyen","Logic",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",1,"Kryz Patricio Navarro","Renzo Gracie Academy",297,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",2,"Luis Angel G Rosito","Alliance",108,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",3,"Alejandro Colin","Alliance International",21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",4,"Dylan Taylor Nguyen","Six Blades Jiu-Jitsu",12,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",5,"Ronaldo Coelho Vello Neto","Art of Jiu Jitsu",4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",6,"Jeison Camilo Mora Pineda","CheckMat",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",7,"Brett Matthew Kostern","Alliance",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Rooster",8,"Daniel Louis Cavazos","R1NG BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",1,"João Pedro Oliveira Rodrigues","Soul Fighters BJJ",270,295,"No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",2,"Washington Luis do M Lima","GF Team",225,252,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",3,"Andres O Poveda","Nova União",71,92,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",4,"Mark A Millare","Hart Jiu-Jitsu",36,63,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",5,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,162,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",6,"Zachary Taylor Thompson","Ares BJJ",0,9,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",7,"Eduardo Barboza da Silva","GF Team",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",8,"Bryan Joseph Ramirez","Kronos BJJ HQ",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Rooster",9,"Baltazar Ricardo Nunez","Cassio Werneck BJJ",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",1,"Ricardo A Calamari","Roberto Traven BJJ",132,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",2,"Zulkainar Shaibek Uulu","CheckMat",36,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",3,"Johnnie Hai Nguyen","CheckMat",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",4,"James Alexander Cusick","Cascao Jiu-Jitsu",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",5,"Shawn Michael Galligan","RMNU Team",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",6,"Viet Quoc Tran","One Jiu-Jitsu USA",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",7,"Unai Garmendia Maeztu","Six Blades Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",8,"Jacob William Beggs","Renato Tavares Association",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",9,"Douglas Richard Cass","Jiu-Jitsu For Life Team",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",10,"Luis Yordan Puente","Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",11,"Joshua Michael Davenport","Mike Moses' Competition Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",12,"Jesse James Robin","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",13,"Emanuele Agosta","Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",14,"Christopher Lim Chung","Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",15,"Christopher Lazar Ciric","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Light Feather",16,"Brian Daniel Baker","Phantom Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",1,"Eneko Aburruza","Studio NW2 - BJJ",108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",2,"Branden Kyle Whittington","Ares BJJ",48,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",3,"Alexander Panyasiri","Impact Jiu Jitsu",21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",4,"Charles Ford Grover lll","Luiz Palhares Jiu-Jitsu",12,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",5,"Amon Jarret Dessources","Atliens Odyssey",12,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",6,"Kenneth Todd Clatterbuck","Ares BJJ",0,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",7,"Adrian Edward Lopez","Kiko France BJJ",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",8,"Tommy Lee Santos Zarate","Autore",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",9,"Tomas Ignacio Sanchez","Cohab Chile",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",10,"Marc Alexandre Poitevien","Logic",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",11,"Karl Daupan","Princeton Brazilian Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",12,"Thomas Choe","Aspire To Inspire",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",13,"Walid El Khoumssi","Renato Tavares Association",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",14,"Victor Heng Thai","Aegis Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",15,"Tolonbai Kamalov","Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",16,"Richard Bernabel","BARBOSA JIU-JITSU USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",17,"Nathaniel Marvin Bickley Caron","Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",18,"Michael Angelo Ablola Remorca","Rilion Gracie",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",19,"Marvin Orlando Amaya Menendez","R1NG BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",20,"Justin Scott Spencer","Team Penn Gladiator Jiu-Jitsu Family",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",21,"Jufer G Librando","Art of Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",22,"Jorge F Chavez Polack","Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",23,"Jesse Michael Diana","Luiz Palhares Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",24,"Jeffrey M Paquette","Troop BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",25,"Fabiano Carvalho Lopes","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",26,"Dryson Bento","Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",27,"Bryan Keith Williamson II","CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Light Feather",28,"Andres Felipe Garcia","Iturralde Arte Suave",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",1,"Phillip Heng Thai","Fifty/50 Jiu-Jitsu",243,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",2,"Brian Paul Vierra","American Jiu-Jitsu Syndicate",189,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",3,"Ricardo Benjamin Sulzbach","Art of Jiu Jitsu",50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",4,"Maui H T Lacaze","Mako Team Paris",36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",5,"Lucas Pinto de Souza","Art of Jiu Jitsu",33,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",6,"Luis Alberto Gomez","Carlson Gracie Team",0,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",7,"Misha Kanai","Massbjj Arlington",0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",8,"Justin Penaflor","TAC Team BJJ",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",9,"Franco Marcelo Villegas Toledo","GF Team",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",10,"Fabio Andrés Arboleda Larrartw","Dojo Leo Iturralde",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",11,"Tyler B Weaver","Cicero Costha Internacional",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",12,"Aristides Araujo Rodriguez","BARBOSA JIU-JITSU USA",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",13,"Joseph Gomez","One Jiu-Jitsu USA",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",14,"Travis Hayward Anderson","Hurricane Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",15,"Tony Quang Anh Nguyen","Cicero Costha Internacional",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",16,"Samuel Alejandr Franchi","Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",17,"Michael Dave Torres","Jiu Jitsu Family Traning Center",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",18,"Jeremy John Cox","Diego Herzog BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",19,"Farley Thomas III","Sim Go Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",20,"Dustin Dean Irlandez","Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",21,"Claudio Javier Candia Vicencio","CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",22,"Carlos Alejandro Aguilar","Lansang Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",23,"Brysson Duk Hoon Morita","Mano Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Light Feather",24,"Bryan Andrew Vaca","Squad BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",1,"João Ricardo Bordignon Miyao","Cicero Costha Internacional",210,630,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",2,"Cesar Rodriguez Jr","RMNU Team",12,84,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",3,"Kaio Cesar Abrantes Fonseca","Gracie Barra",8,60,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",4,"Francielio Fernandes da Costa","Alliance",3,38,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",5,"Ighor Luis Alvim Horta","Brazilian Top Team",0,52,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",6,"Justin Ross M Reyes","TAC Team BJJ",0,28,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",7,"Santiago Pereyra Furlong","Lotus Club USA",0,27,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",8,"Jose Gregorio Orozco Bonilla","Dojo Leo Iturralde",0,13,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",9,"Cody Todd Vaught","Kronos BJJ HQ",0,12,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",10,"Chad Daniel Lundy","Cleber Jiu Jitsu",0,9,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",11,"Arnold Gladimir Monterroso","CheckMat",0,4,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",12,"Gary S Alvarez Jr","Team Link",0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",13,"Jean marc De Groot","Bibiano Fernandes BJJ",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",14,"Guilherme Angelus M de Carvalho","Elvys / Osvaldo Alves - AM",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Light Feather",15,"Edmund Li","Nova União",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",1,"Kevin Michael Lowery","Alliance International",180,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",2,"Rodrigo Rodrigues Rondelli","Fabin Rosa Brazilian Jiu-Jitsu",144,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",3,"Shivam Chandra Vadan","Excellence School of Jiu-Jitsu USA",0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",4,"Ryan Cass Waldron","Cascao Jiu-Jitsu",0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",5,"Alfonso Gerardo Morin Jr ","Baret Submissions USA",0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",6,"Eunsol Kim","Brasa CTA",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",7,"Matthew David Fender","Easton BJJ",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",8,"Joshua Alan Beam","Brasa CTA",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",9,"Damon Michael Vincent Cabel","Alliance International",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",10,"Rubin Pushpangathan","Nova União",0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",11,"Max Warren Pender","R1NG BJJ",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",12,"Kristopher Michel Rhodes","Alliance",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",13,"Nuri Cimen","Cicero Costha Internacional",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",14,"Alexander Vu Dao","Unity Jiu-jitsu",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",15,"Oscar A Martinez Flores","Ralph Gracie",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",16,"Luis Rodrigo De L Mendoza","Alliance Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",17,"Juan J Disla De La Cruz","Alliance",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",18,"Sir Darwin Bosing Dante","Brazilian Top Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",19,"Shawn Michael Borla Arcilla","Maui Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",20,"Sergio Lopez","Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",21,"Sean Yang Jay","Carpe Diem BJJ Singapore",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",22,"Sean Christopher Harvey Jr","Alliance Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",23,"Patrickjames Rivera Ignacio","Shap Bros BJJ / Syndicate MMA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",24,"Odao Lovanh","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",25,"Nathaniel Wallace Regions","Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",26,"Kevin Ernesto Rodriguez","Caveirinha Jiu-Jitsu Family USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",27,"Josef F E Jacinto","Lansang Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",28,"Jesse Kupono Alesna","Relson Gracie",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",29,"Jerremy Newman Sage","Coachella Valley BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",30,"Jeffery Malavong","Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",31,"Jayson Charles R Justo","Mano Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",32,"Jarett Colin Conner","Barum Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",33,"Harry Albert Saporta","CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",34,"David L Cowles","Haven Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",35,"Daniel David Mendoza","Lansang Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",36,"Christopher Ray Calunan Lorezco","One Jiu-Jitsu USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",37,"Christian Alvarado","Sergio Penha Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLUE","Feather",38,"Carlos Alberto Lorenzo Jr","Tactics",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",1,"Ricardo Viayra","Gracie Barra",108,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",2,"Christopher Stanley Zelaya","Art of Jiu Jitsu",36,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",3,"Kenny C Nguyen","One Jiu-Jitsu USA",21,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",4,"Kevin Gregory Sales","Renzo Gracie Academy",12,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",5,"Anthony Maurice Patrick","Yamasaki Academy",12,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",6,"Enea Lapa","Xcell Jiu-Jitsu Academy",8,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",7,"Kondwani M Khonje","G13 BJJ USA",0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",8,"Rico David Lopez","Carlson Gracie Team",0,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",9,"Orlando Valenzuela","Brazilian Top Team",0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",10,"Aren Simon Besson","G13 BJJ USA",0,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","PURPLE","Feather",11,"Kenney Huang","Pablo Silva BJJ",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
