"division","gender","belt","weight","place","Name","winnerGym"
"Master 3","Male","BLUE","Ultra Heavy",2,"Joseph Richard Finan","CheckMat"
"Master 3","Male","BLUE","Ultra Heavy",3,"William James Baxter","TDBJJ"
"Master 3","Male","BLUE","Ultra Heavy",3,"Shannon Thomas Fagan","Team Royce Gracie"
"Master 3","Male","BLUE","Open Class",1,"Shannon Thomas Fagan","Team Royce Gracie"
"Master 3","Male","BLUE","Open Class",2,"Michal Vebr","Silver Fox BJJ International"
"Master 3","Male","BLUE","Open Class",3,"Antonio Augusto Camargo Pagioro","G13 BJJ USA"
"Master 3","Male","BLUE","Open Class",3,"William James Baxter","TDBJJ"
"Master 3","Male","PURPLE","Rooster",1,"Jeremy Kenneth Howard Elkin","TAC Team BJJ"
"Master 3","Male","PURPLE","Rooster",2,"Shuhei Akeo","Carpe Diem"
"Master 3","Male","PURPLE","Rooster",3,"Miguel Angel W Gonzalez Maldonado","Nova União"
"Master 3","Male","PURPLE","Rooster",3,"Jason Edward Robinson","Carlson Gracie Team"
"Master 3","Male","PURPLE","Light Feather",1,"Alonzo Garza Campos","Gracie Barra"
"Master 3","Male","PURPLE","Light Feather",2,"Mowe Kong Hy","Yemaso Brazilian Jiu-Jitsu"
"Master 3","Male","PURPLE","Light Feather",3,"Alejandro Hernandez Torres","Gracie Humaita"
"Master 3","Male","PURPLE","Light Feather",3,"Dellonta J Mills","LCCT - Combat Team"
"Master 3","Male","PURPLE","Feather",1,"Ryan William Becker","Carlson Gracie Team"
"Master 3","Male","PURPLE","Feather",2,"Robert P Chade","R1NG BJJ"
"Master 3","Male","PURPLE","Feather",3,"Joshua Earl K Harding","Brasa CTA"
"Master 3","Male","PURPLE","Feather",3,"Todd Jeffrey Kreutzer","Pedro Sauer Team"
"Master 3","Male","PURPLE","Light",1,"Kazuma Terada","Kronos BJJ HQ"
"Master 3","Male","PURPLE","Light",2,"Gerrimar Sotele Vailante","Julio Binda Brazilian Jiu Jitsu"
"Master 3","Male","PURPLE","Light",3,"James Robert Coggs","Rio Grappling Club Europe"
"Master 3","Male","PURPLE","Light",3,"Jason Colbath","GF Team"
"Master 3","Male","PURPLE","Middle",1,"Tyler S Zimmerman","Alliance"
"Master 3","Male","PURPLE","Middle",2,"Nicklaus Jay Metnik","Rebel Jiu-Jitsu"
"Master 3","Male","PURPLE","Middle",3,"Josue Lopez","1802 Jiu-Jitsu"
"Master 3","Male","PURPLE","Middle",3,"Roberto Eduardo Ferranty Mac Lennan","CheckMat"
"Master 3","Male","PURPLE","Medium Heavy",1,"Lance Mitchell Breeden","Charlotte Jiu-Jitsu Academy"
"Master 3","Male","PURPLE","Medium Heavy",2,"Jason Vincent Valdez","Outsiders Jiu-Jitsu"
"Master 3","Male","PURPLE","Medium Heavy",3,"Miguel Rosalio De La O Gonzalez","DRM Jiu Jitsu"
"Master 3","Male","PURPLE","Medium Heavy",3,"Clyde Yonts III","BJJ Coach Intl. Association"
"Master 3","Male","PURPLE","Heavy",1,"Kenneth Joseph Chopek","Alliance International"
"Master 3","Male","PURPLE","Heavy",2,"Samuel Cash","Vicente Jr. Team"
"Master 3","Male","PURPLE","Heavy",3,"Gabriel M Matt","Logic"
"Master 3","Male","PURPLE","Heavy",3,"Estefano E Isaias","Rilion Gracie Jiu-Jitsu Academy"
"Master 3","Male","PURPLE","Super Heavy",1,"Colby Duke Patterson","Atos JJ International"
"Master 3","Male","PURPLE","Super Heavy",2,"Jeremiah S Johnson","Kron Gracie Jiu Jitsu"
"Master 3","Male","PURPLE","Super Heavy",3,"Fábio Abi Saber de Oliveira","Gracie Barra"
"Master 3","Male","PURPLE","Super Heavy",3,"Jeremy Brick","Renato Tavares Association"
"Master 3","Male","PURPLE","Ultra Heavy",1,"Brandon Dewayne Lee Cash","R1NG BJJ"
"Master 3","Male","PURPLE","Ultra Heavy",2,"Frank V Orr","Waza Brazilian Jiu Jitsu"
"Master 3","Male","PURPLE","Ultra Heavy",3,"Igor de Almeida  Leoni","Fabin Rosa Brazilian Jiu-Jitsu"
"Master 3","Male","PURPLE","Ultra Heavy",3,"Travis Wayne Bill","Schell Shock BJJ"
"Master 3","Male","PURPLE","Open Class",1,"Jeremy Brick","Renato Tavares Association"
"Master 3","Male","PURPLE","Open Class",2,"Igor de Almeida  Leoni","Fabin Rosa Brazilian Jiu-Jitsu"
"Master 3","Male","PURPLE","Open Class",3,"Brandon Dewayne Lee Cash","R1NG BJJ"
"Master 3","Male","PURPLE","Open Class",3,"Fábio Abi Saber de Oliveira","Gracie Barra"
"Master 3","Male","BROWN","Rooster",1,"Zehmir Hussain","Axis Jiu-Jitsu International"
"Master 3","Male","BROWN","Rooster",2,"Paul Andre Oandasan","Ares BJJ"
"Master 3","Male","BROWN","Light Feather",1,"Thomas M Wortman","Art of Jiu Jitsu"
"Master 3","Male","BROWN","Light Feather",2,"Andrew Steve Slackta","Gracie Barra"
"Master 3","Male","BROWN","Light Feather",3,"Cary Lee Bingham","Brasa CTA"
"Master 3","Male","BROWN","Light Feather",3,"Marco Lustro","Milanimal"
"Master 3","Male","BROWN","Feather",1,"Wilfredo Santos Salinas Jr","Grappling Unlimited"
"Master 3","Male","BROWN","Feather",2,"Kenneth Faith","Alliance"
"Master 3","Male","BROWN","Feather",3,"Charles Michael Schrader","McVicker's Brazilian Jiu Jitsu"
"Master 3","Male","BROWN","Feather",3,"Bryce Vincent Phillips Lighthall","Alliance"
"Master 3","Male","BROWN","Middle",1,"David Tobias KinsellaSalway","Atos Jiu-Jitsu"
"Master 3","Male","BROWN","Middle",2,"Bobby Berneil Hamill","American Jiu-Jitsu Syndicate"
"Master 3","Male","BROWN","Middle",3,"Dorival Chaves de Melo","Gracie Humaita"
"Master 3","Male","BROWN","Middle",3,"Joao Paulo Da Silva","Elite Force BJJ"
"Master 3","Male","BROWN","Medium Heavy",1,"Wilfried Maurice FrancoisLouison","Renzo Gracie Academy"
"Master 3","Male","BROWN","Medium Heavy",2,"Konrad Rafal Pietkiewicz","Rick Young BJJ Academy"
"Master 3","Male","BROWN","Medium Heavy",3,"Carlos Rinaldo Lazo Jr","BJJ Revolution Team"
"Master 3","Male","BROWN","Medium Heavy",3,"Eduardo Passos Alencar","BLEC"
"Master 3","Male","BROWN","Heavy",1,"GeoffreyTacae L Harvey","CheckMat"
"Master 3","Male","BROWN","Heavy",2,"Kostandinos P Angelas","Super System BJJ"
"Master 3","Male","BROWN","Heavy",3,"Eduardo Moriyuki Tamashiro","Impacto BJJ"
"Master 3","Male","BROWN","Heavy",3,"Kristopher George Blair","Brasa CTA"
"Master 3","Male","BROWN","Super Heavy",1,"Ulziibayar Selemjav","Garuda Mongolia"
"Master 3","Male","BROWN","Super Heavy",2,"Damian Blazy","Big Brothers"
"Master 3","Male","BROWN","Super Heavy",3,"Steven Michael Robinson","CheckMat"
"Master 3","Male","BROWN","Super Heavy",3,"Nicholas Shawn Hancock","Alliance"
"Master 3","Male","BROWN","Ultra Heavy",1,"Tony William Chin","Carlson Gracie Team"
"Master 3","Male","BROWN","Ultra Heavy",2,"Reece Michael Killebrew","Smartjits"
"Master 3","Male","BROWN","Ultra Heavy",3,"Rudolfo Pablo Salinas","Relson Gracie"
"Master 3","Male","BROWN","Ultra Heavy",3,"Fabio M Incalado","Brazilian Top Team"
"Master 3","Male","BROWN","Open Class",1,"Carlos Rinaldo Lazo Jr","BJJ Revolution Team"
"Master 3","Male","BROWN","Open Class",2,"Wilfried Maurice FrancoisLouison","Renzo Gracie Academy"
"Master 3","Male","BROWN","Open Class",3,"Kristopher George Blair","Brasa CTA"
"Master 3","Male","BROWN","Open Class",3,"Nicholas Shawn Hancock","Alliance"
"Master 3","Male","BLACK","Rooster",1,"Bruno Cesar Gomes da Silva Moreno","Nova União"
"Master 3","Male","BLACK","Rooster",2,"Jorge Rodrigo Nascimento de Azevedo","GF Team"
"Master 3","Male","BLACK","Rooster",3,"Makoto Ono","Splash"
"Master 3","Male","BLACK","Rooster",3,"Darin Haruki Millard","Esaki Jiu-Jitsu Academy"
"Master 3","Male","BLACK","Light Feather",1,"Douglas Rufino da Silva","CheckMat"
"Master 3","Male","BLACK","Light Feather",2,"Sergio Alexandre Lourenço Capella Junior","Nova União"
"Master 3","Male","BLACK","Light Feather",3,"William Earl Hagerty","Jiu-Jitsu Dynamics Washington"
"Master 3","Male","BLACK","Light Feather",3,"Leandro Lopes Escobar","Double Five"
"Master 3","Male","BLACK","Feather",1,"Marcelo dos Santos Motta","Prime Jiu-Jitsu Center"
"Master 3","Male","BLACK","Feather",2,"Denilson de Carvalho Pimenta","GF Team"
"Master 3","Male","BLACK","Feather",3,"Olivier Michailesco","Mako Team Paris"
"Master 3","Male","BLACK","Feather",3,"Carlos Eduardo Enes Raymundo","GF Team"
"Master 3","Male","BLACK","Light",1,"Vitor de Souza Ribeiro","Nova União"
"Master 3","Male","BLACK","Light",2,"Vugner Amador da Silva","Nova União"
"Master 3","Male","BLACK","Light",3,"Denis Mitchel Batista Pinto","Fight Sports"
"Master 3","Male","BLACK","Light",3,"Francisco Daniel Pires Tavares","SAS Team"
"Master 3","Male","BLACK","Middle",1,"Alexandre Concieiro Pimentel","Elite Force BJJ"
"Master 3","Male","BLACK","Middle",2,"Rogerio Yoski Suto","Impacto BJJ"
"Master 3","Male","BLACK","Middle",3,"Adriano Ferreira de Araujo e Silva","Barbosa Jiu-Jitsu"
"Master 3","Male","BLACK","Middle",3,"Leonardo Souza Melo","Nova União"
"Master 3","Male","BLACK","Medium Heavy",1,"Jorge Luiz Santiago Rodrigues","Xcell Jiu-Jitsu Academy"
"Master 3","Male","BLACK","Medium Heavy",2,"Fabio Leopoldo e Silva Neto","R1NG BJJ"
"Master 3","Male","BLACK","Medium Heavy",3,"Leonardo Delgado de Oliveira","Double Five"
"Master 3","Male","BLACK","Medium Heavy",3,"Oswaldo Dias Jurema","Nova União International"
"Master 3","Male","BLACK","Heavy",1,"Gustavo Ramos Campos","Atos Jiu-Jitsu"
"Master 3","Male","BLACK","Heavy",2,"Lucio Sergio dos Santos","Lucio Sergio BJJ Lifestyle"
"Master 3","Male","BLACK","Heavy",3,"Percio Gonçalves","G13 BJJ"
"Master 3","Male","BLACK","Heavy",3,"Andrew John Capper","British Army BJJ"
"Master 3","Male","BLACK","Super Heavy",1,"Paulo José Pinto","Alliance"
"Master 3","Male","BLACK","Super Heavy",2,"Alexandre Fernandes Dantas","Gracie Barra"
"Master 3","Male","BLACK","Super Heavy",3,"Arthur Cesar Sampaio Jacintho","GF Team"
"Master 3","Male","BLACK","Super Heavy",3,"Tiago Pereira Almeida","Six Blades Jiu-Jitsu"
"Master 3","Male","BLACK","Ultra Heavy",1,"Renato Rodrigues de Andrade","CheckMat"
"Master 3","Male","BLACK","Ultra Heavy",2,"Ricardo Feliciano Pereira","CheckMat"
"Master 3","Male","BLACK","Ultra Heavy",3,"Thomas Anthony McMahon","Alliance"
"Master 3","Male","BLACK","Ultra Heavy",3,"David James Margraf","CheckMat USA"
"Master 3","Male","BLACK","Open Class",1,"Gustavo Ramos Campos","Atos Jiu-Jitsu"
"Master 3","Male","BLACK","Open Class",2,"Arthur Cesar Sampaio Jacintho","GF Team"
"Master 3","Male","BLACK","Open Class",3,"Adriano Ferreira de Araujo e Silva","Barbosa Jiu-Jitsu"
"Master 3","Male","BLACK","Open Class",3,"Rogerio Yoski Suto","Impacto BJJ"
"Master 4","Male","BLUE","Light Feather",1,"Russell Thea Wheeler","Team Link Utah"
"Master 4","Male","BLUE","Light Feather",2,"Frank Antonio Castaneda","Ares BJJ"
"Master 4","Male","BLUE","Light Feather",3,"Matthew M  Martsolf","Lagasca BJJ"
"Master 4","Male","BLUE","Light Feather",3,"Juan Rick Roybal III","Soul Fighters BJJ"
"Master 4","Male","BLUE","Feather",1,"Kevin G Persley","Carlson Gracie Team"
"Master 4","Male","BLUE","Feather",2,"Batnamsan BatUlzii","Mongolian BJJ"
"Master 4","Male","BLUE","Feather",3,"James Rojo","American Top Team"
"Master 4","Male","BLUE","Feather",3,"Peter Huan Tran","Gracie Barra"
"Master 4","Male","BLUE","Light",1,"Allen Bolen","Carlson Gracie Team"
"Master 4","Male","BLUE","Light",2,"Gino Francesco Pena","R1NG BJJ"
"Master 4","Male","BLUE","Light",3,"Richard Kelly Chen","Gracie Barra BJJ"
"Master 4","Male","BLUE","Light",3,"Michael Henry Zimnicki","Atos Jiu-Jitsu"
"Master 4","Male","BLUE","Middle",1,"Ron S Lutostanski II","Gracie Barra"
"Master 4","Male","BLUE","Middle",2,"Tomislav Aleksander Joksimovic","Meraki BJJ"
"Master 4","Male","BLUE","Middle",3,"Christopher Thomas DeLauro","Pedigo Submission Fighting"
"Master 4","Male","BLUE","Middle",3,"Laurent Riquoir","Brazilian Power Team International"
"Master 4","Male","BLUE","Medium Heavy",1,"Brent Philip Mehrhoff","Gracie Humaita"
"Master 4","Male","BLUE","Medium Heavy",2,"Soren Tyge Joy","Maui Jiu-Jitsu"
"Master 4","Male","BLUE","Medium Heavy",3,"Gianluca Castellani","Brasa CTA"
"Master 4","Male","BLUE","Medium Heavy",3,"Ryan Keith Ridela","GF Team"
"Master 4","Male","BLUE","Heavy",1,"Charles Patrick Mellett","TAC Team BJJ"
"Master 4","Male","BLUE","Heavy",2,"Leonard Louis Zito","Brasa CTA"
"Master 4","Male","BLUE","Heavy",3,"Angelo Vigil","Prime Jiu-Jitsu Center"
"Master 4","Male","BLUE","Heavy",3,"Tony Santo Russo","Nova União"
"Master 4","Male","BLUE","Super Heavy",1,"Edward John Soares","Jean Jacques Machado BJJ"
"Master 4","Male","BLUE","Super Heavy",2,"Gavin Alexander Falk","SBG International (SBGI)"
"Master 4","Male","BLUE","Super Heavy",3,"Sanford Baird Bailey","Crazy 88"
"Master 4","Male","BLUE","Super Heavy",3,"Raymond Herrera","Cassio Werneck BJJ"
"Master 4","Male","BLUE","Ultra Heavy",1,"Marcus F Whitney","Renzo Gracie Nashville"
"Master 4","Male","BLUE","Ultra Heavy",2,"Kyle Joseph Strahler","Super System BJJ"
"Master 4","Male","BLUE","Ultra Heavy",3,"Bryant Shane Kimble","The Farm Brazilian Jiu-Jitsu"
"Master 4","Male","BLUE","Ultra Heavy",3,"Jose Luis Gonzalez","One Jiu-Jitsu USA"
"Master 4","Male","BLUE","Open Class",1,"Sanford Baird Bailey","Crazy 88"
"Master 4","Male","BLUE","Open Class",2,"Raymond Herrera","Cassio Werneck BJJ"
"Master 4","Male","BLUE","Open Class",3,"Tony Santo Russo","Nova União"
"Master 4","Male","BLUE","Open Class",3,"Bryant Shane Kimble","The Farm Brazilian Jiu-Jitsu"
"Master 4","Male","PURPLE","Light Feather",1,"Hirohisa Naito","Renzo Gracie Academy"
"Master 4","Male","PURPLE","Light Feather",2,"Jason Kalani Holstein","Grappling Unlimited"
"Master 4","Male","PURPLE","Light Feather",3,"Ryan Masaji Arakaki","Brasa CTA"
"Master 4","Male","PURPLE","Light Feather",3,"Steve Vien N Nguyen","Pablo Silva BJJ"
"Master 4","Male","PURPLE","Feather",1,"Anthony J Kim","Atos Jiu-Jitsu"
"Master 4","Male","PURPLE","Feather",2,"Jeffrey T Richard II","Renzo Gracie NH"
"Master 4","Male","PURPLE","Feather",3,"Jason B Untrauer","Ares BJJ"
"Master 4","Male","PURPLE","Feather",3,"Robert Neal Ziller Ramírez","Cicero Costha Internacional"
"Master 4","Male","PURPLE","Light",1,"Edgardo Fernandez Ofilada Jr","Excellence School of Jiu-Jitsu USA"
"Master 4","Male","PURPLE","Light",2,"Gregory Lamont Bickham","Six Blades Jiu-Jitsu"
"Master 4","Male","PURPLE","Light",3,"Jason Wayne Snow","Gracie Barra"
"Master 4","Male","PURPLE","Light",3,"Rosvel Serna","Richardson BJJ"
"Master 4","Male","PURPLE","Middle",1,"Adrian Kenneth Pierce","Carlson Gracie Team"
"Master 4","Male","PURPLE","Middle",2,"Hugh Alfred Mcclenney","Luiz Palhares Jiu-Jitsu"
"Master 4","Male","PURPLE","Middle",3,"Darrin Joseph Homme","Pedro Sauer Team"
"Master 4","Male","PURPLE","Middle",3,"Ernesto Espinoza","Buckhead Jiu-Jitsu"
"Master 4","Male","PURPLE","Medium Heavy",1,"Erich Nikolaus Bender","Alliance"
"Master 4","Male","PURPLE","Medium Heavy",2,"Augusto Cesar Rogel Medeiros","GF Team"
"Master 4","Male","PURPLE","Medium Heavy",3,"Gabriel Kaimana Cera","Brasa CTA"
"Master 4","Male","PURPLE","Medium Heavy",3,"Jeffrey Julian Fletcher","Legacy Jiu-Jitsu - Team Alberto Crane"
"Master 4","Male","PURPLE","Heavy",1,"Simon Paul Childs","Alliance"
"Master 4","Male","PURPLE","Heavy",2,"Edward Mull Lawrence III","Alliance"
"Master 4","Male","PURPLE","Heavy",3,"Lauriano I Perreira","Phantom Brazilian Jiu-Jitsu"
"Master 4","Male","PURPLE","Heavy",3,"Jacky Yannick Roger Giron","Reinaldo Ribeiro Team BJJ Association"
"Master 4","Male","PURPLE","Super Heavy",1,"Anthony David Kell","LAJ"
"Master 4","Male","PURPLE","Super Heavy",2,"Jacek Halecki","Brasa CTA"
"Master 4","Male","PURPLE","Super Heavy",3,"Keith Eric Thornblom","Midcity MMA BJJ Revolution Team New Orleans"
"Master 4","Male","PURPLE","Super Heavy",3,"Peter A Baluca","Australian Elite Team"
"Master 4","Male","PURPLE","Ultra Heavy",1,"Richard John Randolph","Alliance"
"Master 4","Male","PURPLE","Ultra Heavy",2,"Renan Wiltshire Lisboa Salles","CheckMat"
"Master 4","Male","PURPLE","Ultra Heavy",3,"Michael C Miller","Six Blades Jiu-Jitsu"
"Master 4","Male","PURPLE","Ultra Heavy",3,"Michael Prince Robertson","Alliance"
"Master 4","Male","PURPLE","Open Class",1,"Anthony David Kell","LAJ"
"Master 4","Male","PURPLE","Open Class",2,"Peter A Baluca","Australian Elite Team"
"Master 4","Male","PURPLE","Open Class",3,"Gabriel Kaimana Cera","Brasa CTA"
"Master 4","Male","PURPLE","Open Class",3,"Michael Prince Robertson","Alliance"
"Master 4","Male","BROWN","Rooster",1,"Shawn  Suga","Chris Atkins Jiu-Jitsu"
"Master 4","Male","BROWN","Rooster",2,"Dai Ibaraki","Dragon's Den"
"Master 4","Male","BROWN","Rooster",3,"Koji Shigemizu","Trust Jiu-jitsu Academy"
"Master 4","Male","BROWN","Rooster",3,"Paul Christopher Morgan","Jiu-Jitsu For Life Team"
"Master 4","Male","BROWN","Light Feather",1,"Andrew Tyler Henry","Roberto Traven BJJ"
"Master 4","Male","BROWN","Light Feather",2,"Michael B Davis","CheckMat"
"Master 4","Male","BROWN","Light Feather",3,"Hajime Ando","Nexusense"
"Master 4","Male","BROWN","Light Feather",3,"Ronald E Little","Carlson Gracie Team"
"Master 4","Male","BROWN","Feather",1,"Scott M Lowder","R1NG BJJ"
"Master 4","Male","BROWN","Feather",2,"Stephen George Dalkert","Proving Grounds Jiu-Jitsu"
"Master 4","Male","BROWN","Feather",3,"Romain Rousval","Gracie Barra"
"Master 4","Male","BROWN","Feather",3,"Douglas Guncet","Gordo Jiu-Jitsu Europe"
"Master 4","Male","BROWN","Light",1,"Tim H Silva","TABJJ / Honeybadger BJJ"
"Master 4","Male","BROWN","Light",2,"Michael Gregg Sindici","Gracie Allegiance"
"Master 4","Male","BROWN","Light",3,"Nathan McNeece","The Jiu-Jitsu Academy"
"Master 4","Male","BROWN","Light",3,"Paul David Slaybaugh","Nova União"
"Master 4","Male","BROWN","Middle",1,"Lance Clinton Owings","Atos Jiu-Jitsu"
"Master 4","Male","BROWN","Middle",2,"Mark Vasquez Lim","Alliance"
"Master 4","Male","BROWN","Middle",3,"Paulo Francisco dos Santos","Alliance"
"Master 4","Male","BROWN","Middle",3,"Cory Daniel Schutz","Carlson Gracie Team"
"Master 4","Male","BROWN","Medium Heavy",1,"Jeremy E Moore","CheckMat"
"Master 4","Male","BROWN","Medium Heavy",2,"Maik Henneberg","Gracie Barra"
"Master 4","Male","BROWN","Medium Heavy",3,"Salvador Sanchez Lopez","Círculo De Jiu-Jitsu"
"Master 4","Male","BROWN","Medium Heavy",3,"Christopher Kyle Green","Fabio Novaes BJJ"
"Master 4","Male","BROWN","Heavy",1,"Alexandre Amaral Gurgel","CheckMat"
"Master 4","Male","BROWN","Heavy",2,"Timothy Donald Pomfret","Nova União"
"Master 4","Male","BROWN","Heavy",3,"Marc Drouin","Double Five"
"Master 4","Male","BROWN","Heavy",3,"Eric Joseph Anthony Walts","R1NG BJJ"
"Master 4","Male","BROWN","Super Heavy",1,"Scott H Giller","McVicker's Brazilian Jiu Jitsu"
"Master 4","Male","BROWN","Super Heavy",2,"Jonathan Falefasa Umaga","Alliance"
"Master 4","Male","BROWN","Super Heavy",3,"Matthew Peebles","Gracie Barra"
"Master 4","Male","BROWN","Super Heavy",3,"David Ray Baker","Yamasaki Academy"
"Master 4","Male","BROWN","Ultra Heavy",1,"Ricky R Kolmel","Double Five"
"Master 4","Male","BROWN","Ultra Heavy",2,"Joshua Emery Hamilton","TAC Team BJJ"
"Master 4","Male","BROWN","Ultra Heavy",3,"Hiro Gilles Lemaire","Six Blades Jiu-Jitsu"
"Master 4","Male","BROWN","Ultra Heavy",3,"Marcelo Bertolacini","Higashi Jiu Jitsu Canada"
"Master 4","Male","BROWN","Open Class",1,"Marc Drouin","Double Five"
"Master 4","Male","BROWN","Open Class",2,"Ricky R Kolmel","Double Five"
"Master 4","Male","BROWN","Open Class",3,"Matthew Peebles","Gracie Barra"
"Master 4","Male","BROWN","Open Class",3,"Stephen George Dalkert","Proving Grounds Jiu-Jitsu"
"Master 4","Male","BLACK","Rooster",1,"Makoto Sawada","Dragon's Den"
"Master 4","Male","BLACK","Rooster",2,"Mauro Henrique Ayres Junior","Carlson Gracie Team"
"Master 4","Male","BLACK","Rooster",3,"Daniel Carvalho da S Rego","Gracie Barra"
"Master 4","Male","BLACK","Rooster",3,"Luis Ignacio Reyes","Jean Jacques Machado BJJ"
"Master 4","Male","BLACK","Light Feather",1,"Omar Antonio Lima Salum Junior","Gracie Humaita"
"Master 4","Male","BLACK","Light Feather",2,"Marcus Vinicius Barros Norat","Gracie Humaita"
"Master 4","Male","BLACK","Light Feather",3,"Akira Kibe","Splash"
"Master 4","Male","BLACK","Light Feather",3,"QuocHoc Van Do","Carlson Gracie Team"
"Master 4","Male","BLACK","Feather",1,"Alexandre C Freitas","R1NG BJJ"
"Master 4","Male","BLACK","Feather",2,"Bernardo Pitel","Nova União"
"Master 4","Male","BLACK","Feather",3,"Cassio Germano Gurgel Soares","SAS Team"
"Master 4","Male","BLACK","Feather",3,"Koji Iwasaki","Pato Studio"
"Master 4","Male","BLACK","Light",1,"Fabricio Medeiros","Renato Tavares Association"
"Master 4","Male","BLACK","Light",2,"Suyan Lopes Queiroz","Carlson Gracie Team"
"Master 4","Male","BLACK","Light",3,"Jackson McVicker","McVicker's Brazilian Jiu Jitsu"
"Master 4","Male","BLACK","Light",3,"Hirokazu Takamoto","Takamoto Dojo"
"Master 4","Male","BLACK","Middle",1,"Jose Carlos Hissa Granja","Nova União"
"Master 4","Male","BLACK","Middle",2,"Loronz Ceicilio Marion","Ares BJJ"
"Master 4","Male","BLACK","Middle",3,"Natanael Meira de Carvalho","Fight Sports"
"Master 4","Male","BLACK","Middle",3,"Cássio Rios Werneck","Cassio Werneck BJJ"
"Master 4","Male","BLACK","Medium Heavy",1,"Régis da Silveira Lebre","Gracie Humaita"
"Master 4","Male","BLACK","Medium Heavy",2,"Marcelo Santos Azevedo","Gracie Barra"
"Master 4","Male","BLACK","Medium Heavy",3,"Evandro Pires Codato","Lotus Club USA"
"Master 4","Male","BLACK","Medium Heavy",3,"Alexandre Pacheco Novaes","Alexandre Novaes Jiu-Jitsu Academy"
"Master 4","Male","BLACK","Heavy",1,"Scott Duwayne Huston","Brasa CTA"
"Master 4","Male","BLACK","Heavy",2,"Roger Dias Coelho","Roger Coelho - Costa Rica"
"Master 4","Male","BLACK","Heavy",3,"Marco Paulo Mavroleon Vieira de Vasconcelos","Double Five"
"Master 4","Male","BLACK","Heavy",3,"Ishmael Trent Draper","Ed Ramos Jiu-Jitsu USA"
"Master 4","Male","BLACK","Super Heavy",1,"Roberto Godoi","G13 BJJ"
"Master 4","Male","BLACK","Super Heavy",2,"Jose Marcio  Winkler","Atos Jiu-Jitsu"
"Master 4","Male","BLACK","Super Heavy",3,"Michael J Mcinally","Roberto Traven BJJ"
"Master 4","Male","BLACK","Super Heavy",3,"Tiago Schietti de Almeida","Nova União"
"Master 4","Male","BLACK","Ultra Heavy",1,"Timothy Stuart Rennick","Carlson Gracie Team"
"Master 4","Male","BLACK","Ultra Heavy",2,"Fabiano Andre Scherner","American Top Team"
"Master 4","Male","BLACK","Ultra Heavy",3,"Carlos Eduardo de Araujo Farias","Roberto Traven BJJ"
"Master 4","Male","BLACK","Ultra Heavy",3,"James J Walsh","GF Team"
"Master 4","Male","BLACK","Open Class",1,"Roberto Godoi","G13 BJJ"
"Master 4","Male","BLACK","Open Class",2,"Tiago Schietti de Almeida","Nova União"
"Master 4","Male","BLACK","Open Class",3,"Hirokazu Takamoto","Takamoto Dojo"
"Master 4","Male","BLACK","Open Class",3,"Cássio Rios Werneck","Cassio Werneck BJJ"
"Master 5","Male","BLUE","Feather",1,"Herbert Orain II Tubbs","Texas Punishment Crew"
"Master 5","Male","BLUE","Feather",2,"Eric Lee Leveling","RMNU Team"
"Master 5","Male","BLUE","Feather",3,"Mark Harold McLaughlin","Gracie Barra"
"Master 5","Male","BLUE","Feather",3,"Rodney Ramirez","Brasa CTA"
"Master 5","Male","BLUE","Light",1,"Michael Scott Dunkel","Outsiders Jiu-Jitsu"
"Master 5","Male","BLUE","Light",2,"Alexander Chinchilla","Ed Ramos Jiu-Jitsu USA"
"Master 5","Male","BLUE","Light",3,"Adolfo A Alviz","UFC Gym"
"Master 5","Male","BLUE","Light",3,"Shayne K Hoopii","Sumner Grpl Club"
"Master 5","Male","BLUE","Middle",1,"Alan John Taylor","Gracie Barra"
"Master 5","Male","BLUE","Middle",2,"Scott Richard Haile","Unified Jiu Jitsu"
"Master 5","Male","BLUE","Middle",3,"Matthew KuoYang Chuang","Higher Ground BJJ"
"Master 5","Male","BLUE","Middle",3,"Joseph D Lienhard","Rodrigo Vaghi BJJ"
"Master 5","Male","BLUE","Medium Heavy",1,"Jason Adam Ross","Carlson Gracie Team"
"Master 5","Male","BLUE","Medium Heavy",2,"Kevin James Cuccinelli","Carlson Gracie Team"
"Master 5","Male","BLUE","Medium Heavy",3,"Douglas Allen Devoll","GF Team"
"Master 5","Male","BLUE","Medium Heavy",3,"Kerry Russell Harris","TAC Team BJJ"
"Master 5","Male","BLUE","Heavy",1,"Daniel Richard Petrone","Alliance"
"Master 5","Male","BLUE","Heavy",2,"Jon Thomas Jasper","Renzo Gracie Houston"
"Master 5","Male","BLUE","Heavy",3,"Thomas Ishmael Bradley","Gracie Humaita"
"Master 5","Male","BLUE","Heavy",3,"Barend Andries Snyman","GF Team"
"Master 5","Male","BLUE","Super Heavy",1,"Charles Spencer Cook","CheckMat"
"Master 5","Male","BLUE","Super Heavy",2,"Ricky James Savage","Atos Jiu-Jitsu"
"Master 5","Male","BLUE","Super Heavy",3,"Max Eugen Boedder","Carlson Gracie Team"
"Master 5","Male","BLUE","Super Heavy",3,"David John Firth","Gracie Barra"
"Master 5","Male","BLUE","Ultra Heavy",1,"Dean Arthur Sherrell","Brasa CTA"
"Master 5","Male","BLUE","Ultra Heavy",2,"Michael John Barthlow","Gracie Barra"
"Master 5","Male","BLUE","Ultra Heavy",3,"Russell A Salo","Alliance"
"Master 5","Male","BLUE","Ultra Heavy",3,"Donnie James Saucier","American Top Team"
